travel_id,location_latitude,location_logitude,rating_value,predicted_rating_probability
11,-20.2691522,-40.3021716,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
11,,,0.0,0.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
12,,,1.0,1.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,-20.2691501,-40.3021667,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
13,,,0.0,0.0
